s,a,r,s'
65,4,-3,66
79,4,-9,80
63,4,-10,64
98,4,5,99
7,4,-5,8
67,4,-4,68
21,4,-8,22
21,2,-8,11
89,1,5,99
71,2,1,61
17,1,-7,27
19,3,4,18
95,4,-1,96
17,3,-7,16
74,4,8,75
65,2,1,55
22,1,-8,32
36,2,-7,26
95,2,-8,85
23,4,-7,24
12,4,-1,13
43,1,8,53
85,1,-4,95
54,2,8,44
98,4,5,99
75,4,-5,76
54,2,8,44
12,2,-5,2
49,4,6,50
46,1,0,56
56,4,7,57
16,1,-7,26
13,4,3,14
83,4,-8,84
36,3,3,35
24,4,5,25
44,3,5,43
94,3,5,93
61,4,7,62
19,3,4,18
66,2,0,56
25,3,-7,24
56,1,-3,66
12,2,-5,2
56,1,-3,66
50,1,6,60
30,2,5,20
89,1,5,99
8,3,-3,7
73,3,9,72
23,4,-7,24
15,4,-7,16
89,3,1,88
20,2,-9,10
13,4,3,14
87,4,1,88
13,4,3,14
56,3,1,55
42,2,-8,32
61,1,-8,71
29,2,5,19
16,4,-4,17
77,1,-2,87
18,1,-7,28
50,1,6,60
63,3,7,62
43,1,8,53
77,1,-2,87
56,4,7,57
38,4,9,39
54,4,1,55
84,2,0,74
66,1,-5,76
89,2,5,79
76,2,-3,66
16,3,-2,15
56,1,-3,66
98,2,1,88
75,1,-8,85
11,2,6,1
15,1,5,25
74,4,8,75
73,2,7,63
94,3,5,93
82,1,1,92
50,1,6,60
70,1,-9,80
83,2,2,73
98,4,5,99
46,4,1,47
33,2,4,23
6,4,-3,7
78,1,1,88
78,3,5,77
61,4,7,62
60,3,1,59
72,2,7,62
80,2,-6,70
87,3,2,86
76,3,8,75
65,2,1,55
73,1,-1,83
5,3,0,4
44,3,5,43
99,4,-6,100
28,3,-7,27
42,1,-3,52
39,3,3,38
27,4,-7,28
48,4,-8,49
69,2,1,59
49,4,6,50
26,1,6,36
83,4,-8,84
59,3,1,58
38,2,-7,28
40,1,6,50
48,4,-8,49
27,3,-7,26
75,4,-5,76
51,2,2,41
68,3,8,67
56,1,-3,66
96,2,2,86
50,2,-5,40
8,4,5,9
59,1,3,69
37,3,6,36
94,4,-4,95
86,4,-2,87
16,1,-7,26
20,2,-9,10
55,3,8,54
76,2,-3,66
66,3,-10,65
36,3,3,35
37,2,-7,27
74,2,-10,64
32,3,6,31
28,1,3,38
56,1,-3,66
59,1,3,69
6,1,-7,16
56,3,1,55
28,2,4,18
69,4,-6,70
62,3,1,61
58,3,7,57
12,4,-1,13
32,3,6,31
61,1,-8,71
26,3,5,25
31,4,-8,32
75,1,-8,85
95,3,3,94
59,4,6,60
83,1,5,93
6,1,-7,16
91,2,-8,81
37,4,3,38
78,1,1,88
71,4,9,72
47,1,7,57
4,4,8,5
100,2,-3,90
77,2,8,67
91,2,-8,81
40,3,9,39
22,4,4,23
52,2,4,42
3,4,0,4
11,1,1,21
17,3,-7,16
70,3,3,69
34,4,3,35
46,3,0,45
48,3,1,47
91,4,1,92
15,2,8,5
98,2,1,88
97,4,3,98
50,2,-5,40
80,2,-6,70
21,1,6,31
89,2,5,79
45,3,8,44
84,2,0,74
78,4,5,79
25,3,-7,24
51,1,1,61
81,4,4,82
40,3,9,39
86,1,-1,96
45,3,8,44
73,3,9,72
2,4,-10,3
92,4,5,93
60,2,6,50
41,2,6,31
51,2,2,41
40,2,-10,30
29,1,9,39
74,1,-8,84
51,2,2,41
77,2,8,67
35,4,6,36
12,4,-1,13
4,3,-10,3
62,3,1,61
35,1,0,45
85,2,8,75
50,2,-5,40
28,4,-9,29
77,1,-2,87
66,4,8,67
74,4,8,75
2,4,-10,3
77,3,-5,76
32,1,4,42
10,1,5,20
50,3,-8,49
11,2,6,1
40,1,6,50
70,2,6,60
43,4,8,44
98,3,3,97
72,4,2,73
94,4,-4,95
17,1,-7,27
37,1,1,47
89,1,5,99
56,3,1,55
68,4,3,69
92,4,5,93
13,1,4,23
11,1,1,21
55,1,-10,65
41,1,7,51
75,2,-10,65
35,3,-6,34
42,3,2,41
71,1,-8,81
89,3,1,88
43,4,8,44
26,3,5,25
5,1,-2,15
1,1,-8,11
16,1,-7,26
65,2,1,55
33,2,4,23
66,1,-5,76
89,3,1,88
45,4,2,46
81,1,-2,91
62,4,7,63
10,1,5,20
21,1,6,31
32,3,6,31
79,3,-1,78
34,3,3,33
48,3,1,47
76,2,-3,66
2,1,-1,12
3,3,-5,2
25,3,-7,24
97,4,3,98
31,4,-8,32
76,2,-3,66
64,3,7,63
12,4,-1,13
28,4,-9,29
3,4,0,4
16,1,-7,26
95,2,-8,85
8,3,-3,7
53,2,5,43
60,3,1,59
14,4,-2,15
27,4,-7,28
69,4,-6,70
90,1,-6,100
24,2,3,14
2,3,6,1
89,2,5,79
57,1,8,67
75,2,-10,65
54,2,8,44
100,3,5,99
28,1,3,38
46,1,0,56
97,2,-2,87
66,4,8,67
43,4,8,44
20,1,-10,30
73,1,-1,83
95,2,-8,85
78,4,5,79
10,1,5,20
23,3,-8,22
50,2,-5,40
52,4,8,53
39,3,3,38
70,2,6,60
26,3,5,25
47,1,7,57
60,2,6,50
45,4,2,46
16,3,-2,15
53,4,8,54
47,3,2,46
96,4,3,97
22,1,-8,32
55,2,0,45
75,2,-10,65
93,4,3,94
39,1,-8,49
12,1,-8,22
100,2,-3,90
30,1,-5,40
33,1,5,43
6,3,8,5
96,4,3,97
23,2,-1,13
87,2,5,77
27,2,-4,17
18,1,-7,28
99,4,-6,100
39,3,3,38
17,3,-7,16
63,1,2,73
10,1,5,20
80,3,5,79
53,3,-3,52
90,3,2,89
48,2,3,38
37,2,-7,27
30,3,-9,29
59,3,1,58
75,1,-8,85
84,2,0,74
43,4,8,44
82,4,-1,83
10,1,5,20
68,4,3,69
43,4,8,44
51,4,-3,52
28,1,3,38
63,4,-10,64
92,2,4,82
42,4,5,43
75,4,-5,76
54,2,8,44
58,3,7,57
48,2,3,38
66,1,-5,76
7,1,-4,17
3,4,0,4
66,2,0,56
89,3,1,88
55,2,0,45
100,2,-3,90
25,2,-2,15
22,1,-8,32
7,3,5,6
45,2,3,35
51,4,-3,52
68,2,1,58
11,1,1,21
99,2,2,89
95,4,-1,96
74,3,2,73
100,3,5,99
54,2,8,44
1,4,-5,2
22,1,-8,32
82,3,-8,81
26,3,5,25
40,3,9,39
37,4,3,38
97,2,-2,87
14,2,0,4
60,2,6,50
74,3,2,73
56,2,2,46
45,1,1,55
37,4,3,38
14,4,-2,15
35,3,-6,34
34,2,-7,24
82,3,-8,81
56,1,-3,66
77,2,8,67
96,3,-4,95
11,4,-1,12
81,2,-8,71
29,2,5,19
63,1,2,73
85,4,2,86
72,1,4,82
72,4,2,73
55,4,0,56
97,3,-1,96
7,3,5,6
26,3,5,25
83,4,-8,84
82,1,1,92
12,1,-8,22
25,1,3,35
24,3,4,23
4,1,3,14
89,1,5,99
44,2,-6,34
54,3,8,53
100,2,-3,90
47,2,-1,37
25,3,-7,24
33,4,-6,34
35,3,-6,34
41,1,7,51
67,4,-4,68
20,2,-9,10
28,1,3,38
68,3,8,67
36,3,3,35
23,1,3,33
70,2,6,60
19,3,4,18
58,2,-4,48
61,2,7,51
88,3,-2,87
23,2,-1,13
35,2,5,25
59,1,3,69
64,1,0,74
25,4,-7,26
32,4,3,33
36,1,2,46
55,2,0,45
53,1,7,63
87,3,2,86
29,1,9,39
38,3,-1,37
32,3,6,31
12,4,-1,13
86,1,-1,96
47,2,-1,37
18,1,-7,28
74,4,8,75
26,4,-7,27
80,3,5,79
14,1,-7,24
74,1,-8,84
97,3,-1,96
50,3,-8,49
38,4,9,39
83,3,4,82
99,4,-6,100
94,4,-4,95
82,1,1,92
18,1,-7,28
2,4,-10,3
26,4,-7,27
13,3,-1,12
86,4,-2,87
42,2,-8,32
81,2,-8,71
84,3,-1,83
71,4,9,72
52,2,4,42
56,1,-3,66
84,2,0,74
28,1,3,38
12,3,-8,11
12,3,-8,11
22,4,4,23
98,4,5,99
69,3,-4,68
22,4,4,23
82,2,9,72
79,3,-1,78
65,4,-3,66
46,3,0,45
56,4,7,57
63,2,8,53
4,1,3,14
76,4,5,77
52,3,7,51
77,2,8,67
48,3,1,47
39,2,-9,29
97,4,3,98
54,4,1,55
2,1,-1,12
22,4,4,23
46,4,1,47
74,2,-10,64
88,4,2,89
62,1,9,72
74,3,2,73
76,2,-3,66
17,3,-7,16
76,2,-3,66
3,1,-1,13
17,4,4,18
49,4,6,50
63,1,2,73
92,2,4,82
3,3,-5,2
66,4,8,67
5,4,5,6
91,4,1,92
36,2,-7,26
51,1,1,61
72,3,-8,71
33,1,5,43
85,3,-8,84
5,1,-2,15
78,3,5,77
21,1,6,31
52,4,8,53
52,1,7,62
31,4,-8,32
15,3,3,14
23,2,-1,13
76,2,-3,66
8,1,4,18
17,4,4,18
37,4,3,38
26,3,5,25
16,3,-2,15
67,4,-4,68
68,2,1,58
5,3,0,4
93,3,1,92
13,4,3,14
16,1,-7,26
8,3,-3,7
7,3,5,6
26,4,-7,27
53,4,8,54
82,4,-1,83
60,3,1,59
33,3,-8,32
8,3,-3,7
53,4,8,54
76,1,2,86
87,1,3,97
35,4,6,36
3,3,-5,2
13,2,-10,3
43,3,4,42
54,2,8,44
24,1,-6,34
26,4,-7,27
69,2,1,59
18,3,-4,17
59,2,-8,49
8,4,5,9
67,1,5,77
4,4,8,5
7,3,5,6
56,1,-3,66
34,2,-7,24
4,3,-10,3
69,2,1,59
99,2,2,89
17,2,-3,7
4,1,3,14
78,3,5,77
32,1,4,42
56,1,-3,66
84,3,-1,83
77,4,-1,78
15,4,-7,16
26,2,-7,16
97,4,3,98
86,3,-8,85
82,4,-1,83
32,1,4,42
7,4,-5,8
36,1,2,46
94,3,5,93
52,4,8,53
71,4,9,72
65,4,-3,66
8,3,-3,7
43,1,8,53
36,1,2,46
83,3,4,82
4,3,-10,3
90,2,-9,80
82,1,1,92
62,3,1,61
98,2,1,88
33,3,-8,32
71,4,9,72
28,1,3,38
1,4,-5,2
10,3,5,9
57,4,1,58
54,4,1,55
66,3,-10,65
77,4,-1,78
44,2,-6,34
64,4,-10,65
33,3,-8,32
73,2,7,63
40,3,9,39
68,3,8,67
38,4,9,39
92,2,4,82
78,4,5,79
74,3,2,73
66,3,-10,65
28,3,-7,27
95,4,-1,96
59,3,1,58
45,3,8,44
49,2,9,39
16,3,-2,15
44,3,5,43
4,3,-10,3
88,1,3,98
82,3,-8,81
30,3,-9,29
66,1,-5,76
22,4,4,23
70,3,3,69
5,1,-2,15
91,4,1,92
28,1,3,38
75,3,0,74
73,1,-1,83
71,1,-8,81
47,3,2,46
97,4,3,98
87,1,3,97
96,2,2,86
70,3,3,69
14,3,-1,13
97,2,-2,87
25,4,-7,26
38,2,-7,28
62,1,9,72
46,3,0,45
60,1,-6,70
62,1,9,72
8,4,5,9
10,1,5,20
24,3,4,23
69,1,5,79
23,2,-1,13
71,4,9,72
57,3,0,56
67,3,-3,66
63,1,2,73
27,2,-4,17
99,4,-6,100
30,3,-9,29
24,1,-6,34
36,4,-1,37
30,3,-9,29
83,4,-8,84
33,2,4,23
19,4,5,20
82,3,-8,81
84,4,-8,85
11,1,1,21
11,2,6,1
32,1,4,42
24,2,3,14
49,2,9,39
75,3,0,74
18,1,-7,28
96,4,3,97
75,2,-10,65
21,2,-8,11
12,1,-8,22
4,3,-10,3
73,3,9,72
20,2,-9,10
89,3,1,88
2,3,6,1
78,1,1,88
94,3,5,93
32,2,-8,22
77,2,8,67
55,4,0,56
100,3,5,99
36,2,-7,26
37,2,-7,27
81,2,-8,71
50,2,-5,40
99,2,2,89
53,2,5,43
53,4,8,54
73,4,0,74
49,2,9,39
72,2,7,62
18,1,-7,28
90,3,2,89
32,4,3,33
18,3,-4,17
15,2,8,5
92,4,5,93
33,2,4,23
19,2,5,9
69,3,-4,68
50,3,-8,49
6,1,-7,16
58,2,-4,48
84,2,0,74
45,3,8,44
35,2,5,25
16,4,-4,17
28,4,-9,29
26,4,-7,27
50,2,-5,40
42,2,-8,32
47,2,-1,37
17,2,-3,7
45,3,8,44
22,3,1,21
7,3,5,6
20,1,-10,30
72,1,4,82
38,3,-1,37
28,4,-9,29
61,2,7,51
82,2,9,72
43,3,4,42
39,3,3,38
29,3,-7,28
85,3,-8,84
42,3,2,41
63,2,8,53
61,2,7,51
36,2,-7,26
97,2,-2,87
96,4,3,97
60,3,1,59
12,3,-8,11
18,1,-7,28
33,2,4,23
70,2,6,60
59,1,3,69
37,2,-7,27
52,3,7,51
52,3,7,51
39,2,-9,29
54,4,1,55
9,1,5,19
13,4,3,14
66,3,-10,65
87,1,3,97
53,3,-3,52
75,3,0,74
59,1,3,69
24,3,4,23
2,1,-1,12
52,4,8,53
12,2,-5,2
24,4,5,25
8,4,5,9
79,1,2,89
36,4,-1,37
55,1,-10,65
31,1,2,41
42,3,2,41
87,2,5,77
30,1,-5,40
30,1,-5,40
34,1,8,44
23,3,-8,22
36,4,-1,37
78,3,5,77
58,1,-4,68
86,3,-8,85
26,2,-7,16
4,4,8,5
74,4,8,75
82,2,9,72
55,2,0,45
30,3,-9,29
63,3,7,62
79,2,3,69
33,3,-8,32
4,3,-10,3
81,2,-8,71
14,4,-2,15
73,4,0,74
67,2,7,57
3,4,0,4
87,2,5,77
60,2,6,50
66,3,-10,65
70,1,-9,80
95,3,3,94
41,4,4,42
25,4,-7,26
63,4,-10,64
76,1,2,86
49,2,9,39
98,2,1,88
84,2,0,74
46,1,0,56
22,4,4,23
10,1,5,20
28,2,4,18
23,1,3,33
75,1,-8,85
25,1,3,35
100,2,-3,90
89,4,-3,90
100,2,-3,90
26,2,-7,16
94,4,-4,95
38,1,-4,48
97,2,-2,87
41,1,7,51
79,2,3,69
4,1,3,14
23,4,-7,24
82,2,9,72
44,1,8,54
84,2,0,74
96,2,2,86
55,1,-10,65
13,1,4,23
43,3,4,42
97,4,3,98
87,2,5,77
82,2,9,72
78,1,1,88
56,4,7,57
14,3,-1,13
82,4,-1,83
71,1,-8,81
13,4,3,14
66,1,-5,76
62,2,-3,52
67,4,-4,68
94,3,5,93
64,3,7,63
56,4,7,57
34,2,-7,24
76,4,5,77
29,2,5,19
87,1,3,97
61,1,-8,71
97,4,3,98
94,4,-4,95
14,4,-2,15
57,1,8,67
27,1,-1,37
85,3,-8,84
48,4,-8,49
98,2,1,88
95,3,3,94
64,1,0,74
27,1,-1,37
64,1,0,74
68,2,1,58
66,2,0,56
82,4,-1,83
20,1,-10,30
73,4,0,74
65,1,8,75
70,2,6,60
93,4,3,94
84,1,3,94
3,4,0,4
18,1,-7,28
94,3,5,93
41,4,4,42
85,3,-8,84
65,1,8,75
89,3,1,88
71,2,1,61
93,3,1,92
80,3,5,79
63,1,2,73
28,2,4,18
6,3,8,5
97,3,-1,96
73,2,7,63
64,2,8,54
32,4,3,33
12,4,-1,13
47,1,7,57
94,3,5,93
85,3,-8,84
66,3,-10,65
84,2,0,74
60,3,1,59
75,4,-5,76
30,2,5,20
45,4,2,46
41,2,6,31
81,2,-8,71
100,2,-3,90
31,1,2,41
36,3,3,35
65,2,1,55
38,1,-4,48
4,4,8,5
47,4,-4,48
18,1,-7,28
22,2,-1,12
46,1,0,56
89,3,1,88
41,1,7,51
85,3,-8,84
71,4,9,72
19,2,5,9
91,4,1,92
89,4,-3,90
86,4,-2,87
63,1,2,73
81,2,-8,71
28,1,3,38
45,1,1,55
46,3,0,45
6,1,-7,16
100,2,-3,90
47,1,7,57
74,4,8,75
76,4,5,77
53,3,-3,52
27,2,-4,17
29,1,9,39
25,2,-2,15
78,2,-4,68
87,3,2,86
95,3,3,94
73,3,9,72
54,1,-10,64
83,4,-8,84
56,2,2,46
62,4,7,63
63,4,-10,64
34,3,3,33
75,2,-10,65
16,2,5,6
56,4,7,57
86,1,-1,96
85,4,2,86
25,1,3,35
17,3,-7,16
10,3,5,9
24,2,3,14
41,4,4,42
99,2,2,89
66,1,-5,76
15,3,3,14
26,1,6,36
83,1,5,93
55,4,0,56
42,2,-8,32
90,2,-9,80
52,4,8,53
37,1,1,47
76,4,5,77
13,1,4,23
99,4,-6,100
40,1,6,50
34,3,3,33
60,3,1,59
95,4,-1,96
11,2,6,1
68,3,8,67
12,4,-1,13
60,1,-6,70
53,4,8,54
79,3,-1,78
28,3,-7,27
24,2,3,14
95,2,-8,85
99,3,3,98
46,2,6,36
71,4,9,72
74,4,8,75
29,3,-7,28
33,3,-8,32
84,4,-8,85
53,2,5,43
41,4,4,42
16,4,-4,17
34,1,8,44
31,4,-8,32
8,4,5,9
67,4,-4,68
84,2,0,74
76,2,-3,66
66,4,8,67
43,3,4,42
90,1,-6,100
86,1,-1,96
7,3,5,6
76,1,2,86
74,4,8,75
61,2,7,51
92,2,4,82
44,4,0,45
85,2,8,75
55,2,0,45
13,3,-1,12
34,3,3,33
95,4,-1,96
53,1,7,63
91,4,1,92
78,4,5,79
47,1,7,57
74,2,-10,64
19,1,-9,29
69,2,1,59
19,4,5,20
79,3,-1,78
72,3,-8,71
23,1,3,33
30,3,-9,29
96,3,-4,95
30,2,5,20
18,3,-4,17
79,2,3,69
49,4,6,50
28,1,3,38
25,2,-2,15
85,3,-8,84
21,2,-8,11
86,3,-8,85
86,4,-2,87
58,1,-4,68
53,1,7,63
78,2,-4,68
75,4,-5,76
63,1,2,73
28,2,4,18
39,4,-5,40
92,4,5,93
44,3,5,43
50,3,-8,49
69,4,-6,70
73,2,7,63
78,1,1,88
20,1,-10,30
3,3,-5,2
28,4,-9,29
17,2,-3,7
45,3,8,44
23,3,-8,22
33,4,-6,34
49,4,6,50
55,4,0,56
62,1,9,72
46,4,1,47
31,1,2,41
30,2,5,20
41,1,7,51
42,4,5,43
95,3,3,94
49,3,-4,48
11,2,6,1
33,1,5,43
67,1,5,77
21,2,-8,11
82,3,-8,81
54,4,1,55
44,2,-6,34
56,3,1,55
72,3,-8,71
57,3,0,56
47,2,-1,37
55,1,-10,65
98,3,3,97
31,4,-8,32
71,4,9,72
14,4,-2,15
39,4,-5,40
38,3,-1,37
14,2,0,4
94,4,-4,95
13,4,3,14
76,4,5,77
72,1,4,82
63,3,7,62
67,2,7,57
74,4,8,75
65,3,-10,64
6,1,-7,16
72,4,2,73
23,3,-8,22
28,2,4,18
38,1,-4,48
77,3,-5,76
94,3,5,93
33,4,-6,34
48,1,1,58
30,1,-5,40
29,1,9,39
48,3,1,47
16,1,-7,26
24,3,4,23
21,2,-8,11
33,3,-8,32
88,3,-2,87
33,3,-8,32
30,3,-9,29
2,3,6,1
74,3,2,73
72,4,2,73
82,2,9,72
53,1,7,63
18,1,-7,28
50,1,6,60
59,1,3,69
42,3,2,41
33,4,-6,34
82,4,-1,83
90,3,2,89
58,2,-4,48
25,3,-7,24
49,3,-4,48
17,1,-7,27
52,3,7,51
83,1,5,93
33,1,5,43
93,3,1,92
26,2,-7,16
76,3,8,75
68,3,8,67
26,1,6,36
95,2,-8,85
66,4,8,67
52,1,7,62
59,2,-8,49
1,4,-5,2
76,4,5,77
39,3,3,38
59,2,-8,49
36,4,-1,37
10,3,5,9
14,1,-7,24
83,2,2,73
4,4,8,5
83,4,-8,84
13,4,3,14
15,1,5,25
21,2,-8,11
88,3,-2,87
91,4,1,92
88,4,2,89
86,1,-1,96
66,3,-10,65
75,3,0,74
56,1,-3,66
48,1,1,58
75,1,-8,85
55,1,-10,65
86,4,-2,87
23,4,-7,24
13,3,-1,12
12,3,-8,11
29,1,9,39
42,1,-3,52
17,4,4,18
57,2,1,47
5,1,-2,15
30,3,-9,29
55,1,-10,65
89,3,1,88
33,3,-8,32
32,1,4,42
9,1,5,19
7,3,5,6
35,1,0,45
38,2,-7,28
30,2,5,20
68,3,8,67
57,1,8,67
24,3,4,23
2,4,-10,3
62,2,-3,52
93,3,1,92
88,3,-2,87
69,1,5,79
64,4,-10,65
97,4,3,98
72,2,7,62
51,2,2,41
8,3,-3,7
54,1,-10,64
44,4,0,45
67,4,-4,68
23,2,-1,13
92,2,4,82
34,1,8,44
80,2,-6,70
93,3,1,92
38,3,-1,37
33,4,-6,34
84,2,0,74
37,3,6,36
95,4,-1,96
49,2,9,39
10,1,5,20
81,4,4,82
59,3,1,58
34,1,8,44
22,4,4,23
32,3,6,31
4,4,8,5
24,4,5,25
15,4,-7,16
99,3,3,98
60,1,-6,70
69,1,5,79
43,1,8,53
72,2,7,62
86,4,-2,87
57,3,0,56
49,2,9,39
37,2,-7,27
11,2,6,1
57,4,1,58
42,1,-3,52
9,1,5,19
75,1,-8,85
92,4,5,93
33,2,4,23
68,1,-1,78
35,1,0,45
6,4,-3,7
62,4,7,63
86,1,-1,96
32,4,3,33
17,1,-7,27
37,3,6,36
11,1,1,21
59,1,3,69
54,2,8,44
82,1,1,92
43,2,3,33
23,4,-7,24
20,1,-10,30
42,2,-8,32
38,3,-1,37
65,2,1,55
87,3,2,86
82,3,-8,81
47,2,-1,37
2,1,-1,12
64,1,0,74
17,2,-3,7
97,2,-2,87
57,3,0,56
70,3,3,69
90,3,2,89
89,4,-3,90
42,1,-3,52
10,1,5,20
39,3,3,38
9,1,5,19
88,4,2,89
83,3,4,82
75,3,0,74
23,3,-8,22
81,2,-8,71
76,3,8,75
98,3,3,97
39,3,3,38
22,1,-8,32
11,1,1,21
78,2,-4,68
65,2,1,55
52,3,7,51
54,4,1,55
23,3,-8,22
77,2,8,67
25,1,3,35
85,4,2,86
24,1,-6,34
40,3,9,39
59,2,-8,49
83,1,5,93
56,4,7,57
51,2,2,41
98,2,1,88
85,4,2,86
75,1,-8,85
92,4,5,93
31,4,-8,32
70,1,-9,80
14,4,-2,15
64,3,7,63
4,4,8,5
75,3,0,74
90,3,2,89
54,3,8,53
31,1,2,41
2,3,6,1
21,1,6,31
2,3,6,1
31,4,-8,32
19,2,5,9
31,1,2,41
54,4,1,55
85,4,2,86
58,2,-4,48
12,1,-8,22
6,3,8,5
96,3,-4,95
51,2,2,41
94,3,5,93
90,3,2,89
81,4,4,82
48,2,3,38
77,3,-5,76
23,1,3,33
38,1,-4,48
17,3,-7,16
54,1,-10,64
55,1,-10,65
67,3,-3,66
65,2,1,55
46,2,6,36
42,1,-3,52
16,1,-7,26
23,2,-1,13
88,1,3,98
96,2,2,86
39,1,-8,49
46,1,0,56
86,2,-5,76
10,1,5,20
96,3,-4,95
31,4,-8,32
42,3,2,41
88,1,3,98
45,1,1,55
68,3,8,67
13,1,4,23
83,3,4,82
54,1,-10,64
81,4,4,82
33,2,4,23
28,3,-7,27
84,1,3,94
85,1,-4,95
55,4,0,56
49,2,9,39
25,2,-2,15
57,2,1,47
72,3,-8,71
13,4,3,14
53,4,8,54
88,2,-1,78
4,3,-10,3
63,1,2,73
54,3,8,53
88,4,2,89
41,4,4,42
10,3,5,9
2,1,-1,12
5,1,-2,15
82,3,-8,81
33,4,-6,34
46,3,0,45
68,1,-1,78
60,3,1,59
69,2,1,59
71,2,1,61
76,4,5,77
87,2,5,77
83,3,4,82
34,4,3,35
43,3,4,42
95,3,3,94
66,2,0,56
62,3,1,61
70,2,6,60
83,3,4,82
75,4,-5,76
9,3,-5,8
75,4,-5,76
39,4,-5,40
36,4,-1,37
69,4,-6,70
1,1,-8,11
18,4,5,19
14,1,-7,24
78,3,5,77
34,4,3,35
47,1,7,57
67,2,7,57
19,3,4,18
45,3,8,44
70,2,6,60
38,2,-7,28
19,2,5,9
85,2,8,75
75,3,0,74
65,2,1,55
37,2,-7,27
44,2,-6,34
31,4,-8,32
57,1,8,67
67,4,-4,68
78,2,-4,68
55,3,8,54
72,3,-8,71
33,3,-8,32
18,1,-7,28
32,4,3,33
79,1,2,89
15,1,5,25
28,3,-7,27
86,1,-1,96
77,1,-2,87
25,3,-7,24
26,4,-7,27
47,3,2,46
100,2,-3,90
76,1,2,86
98,3,3,97
66,4,8,67
44,4,0,45
28,2,4,18
73,1,-1,83
82,1,1,92
87,3,2,86
79,4,-9,80
8,3,-3,7
5,3,0,4
35,2,5,25
54,1,-10,64
61,2,7,51
63,3,7,62
36,1,2,46
86,2,-5,76
26,1,6,36
44,4,0,45
45,4,2,46
33,2,4,23
56,2,2,46
2,3,6,1
23,4,-7,24
26,3,5,25
18,4,5,19
60,2,6,50
48,1,1,58
49,3,-4,48
95,2,-8,85
65,4,-3,66
91,2,-8,81
28,3,-7,27
55,2,0,45
97,2,-2,87
72,4,2,73
23,2,-1,13
61,2,7,51
98,2,1,88
11,4,-1,12
78,3,5,77
58,4,1,59
55,1,-10,65
20,1,-10,30
37,2,-7,27
66,3,-10,65
89,1,5,99
11,2,6,1
32,2,-8,22
12,1,-8,22
91,2,-8,81
36,3,3,35
46,1,0,56
65,2,1,55
35,2,5,25
76,1,2,86
63,3,7,62
24,3,4,23
86,4,-2,87
70,2,6,60
96,4,3,97
80,2,-6,70
4,3,-10,3
42,1,-3,52
66,3,-10,65
8,3,-3,7
29,3,-7,28
13,3,-1,12
87,3,2,86
14,3,-1,13
79,4,-9,80
16,4,-4,17
17,2,-3,7
57,3,0,56
64,2,8,54
47,2,-1,37
1,1,-8,11
98,4,5,99
25,1,3,35
75,3,0,74
98,4,5,99
23,3,-8,22
15,3,3,14
8,4,5,9
43,2,3,33
35,2,5,25
46,2,6,36
49,4,6,50
7,1,-4,17
37,3,6,36
9,3,-5,8
46,4,1,47
5,3,0,4
43,2,3,33
42,3,2,41
97,3,-1,96
82,1,1,92
12,4,-1,13
17,4,4,18
34,1,8,44
47,1,7,57
9,3,-5,8
85,3,-8,84
54,2,8,44
76,2,-3,66
30,3,-9,29
21,4,-8,22
14,1,-7,24
52,1,7,62
39,1,-8,49
19,1,-9,29
99,3,3,98
16,4,-4,17
77,4,-1,78
94,3,5,93
90,2,-9,80
3,3,-5,2
63,2,8,53
56,3,1,55
9,1,5,19
22,4,4,23
48,3,1,47
83,1,5,93
60,2,6,50
33,1,5,43
72,2,7,62
91,2,-8,81
95,3,3,94
47,3,2,46
80,3,5,79
60,1,-6,70
63,1,2,73
85,4,2,86
65,3,-10,64
9,1,5,19
54,3,8,53
24,2,3,14
69,2,1,59
83,1,5,93
50,1,6,60
33,3,-8,32
73,2,7,63
56,4,7,57
52,2,4,42
22,1,-8,32
4,3,-10,3
43,3,4,42
82,1,1,92
75,1,-8,85
82,2,9,72
96,4,3,97
57,1,8,67
57,2,1,47
25,3,-7,24
93,2,-1,83
36,3,3,35
24,3,4,23
54,2,8,44
43,1,8,53
52,2,4,42
3,3,-5,2
13,4,3,14
43,2,3,33
60,1,-6,70
27,1,-1,37
27,2,-4,17
40,3,9,39
18,3,-4,17
21,1,6,31
67,2,7,57
54,1,-10,64
41,4,4,42
29,1,9,39
5,3,0,4
13,1,4,23
62,1,9,72
40,1,6,50
72,1,4,82
88,3,-2,87
7,1,-4,17
42,4,5,43
2,4,-10,3
12,3,-8,11
68,3,8,67
73,4,0,74
48,2,3,38
1,1,-8,11
83,3,4,82
42,2,-8,32
61,2,7,51
33,4,-6,34
36,1,2,46
46,2,6,36
43,1,8,53
97,4,3,98
27,4,-7,28
59,2,-8,49
63,3,7,62
54,1,-10,64
52,3,7,51
65,2,1,55
32,2,-8,22
75,3,0,74
78,4,5,79
21,4,-8,22
71,1,-8,81
6,3,8,5
4,3,-10,3
45,3,8,44
69,1,5,79
87,2,5,77
8,3,-3,7
69,1,5,79
44,1,8,54
97,4,3,98
97,4,3,98
56,4,7,57
29,1,9,39
73,4,0,74
59,1,3,69
49,1,1,59
70,1,-9,80
13,3,-1,12
19,4,5,20
27,1,-1,37
73,2,7,63
10,3,5,9
80,3,5,79
87,3,2,86
96,4,3,97
32,2,-8,22
84,3,-1,83
24,2,3,14
42,2,-8,32
40,3,9,39
20,2,-9,10
29,2,5,19
99,3,3,98
59,1,3,69
78,1,1,88
