s,a,r,s'
56,3,1,55
16,3,-2,15
93,4,3,94
16,4,-4,17
59,3,1,58
91,4,1,92
27,4,-7,28
75,2,-10,65
90,1,-6,100
80,2,-6,70
61,1,-8,71
94,4,-4,95
40,2,-10,30
37,4,3,38
42,1,-3,52
97,4,3,98
28,4,-9,29
94,3,5,93
43,2,3,33
96,3,-4,95
38,1,-4,48
80,1,-3,90
70,3,3,69
83,2,2,73
22,2,-1,12
6,1,-7,16
20,2,-9,10
16,1,-7,26
6,4,-3,7
42,4,5,43
80,3,5,79
22,1,-8,32
3,1,-1,13
83,1,5,93
86,2,-5,76
74,2,-10,64
77,4,-1,78
76,2,-3,66
17,2,-3,7
65,4,-3,66
55,1,-10,65
74,4,8,75
15,1,5,25
24,1,-6,34
44,3,5,43
46,2,6,36
72,3,-8,71
68,2,1,58
10,3,5,9
69,2,1,59
66,3,-10,65
15,4,-7,16
33,2,4,23
17,1,-7,27
52,4,8,53
17,4,4,18
41,1,7,51
74,4,8,75
53,4,8,54
77,1,-2,87
69,1,5,79
32,3,6,31
59,2,-8,49
87,1,3,97
75,4,-5,76
33,1,5,43
98,3,3,97
80,2,-6,70
56,2,2,46
35,1,0,45
47,2,-1,37
55,3,8,54
54,3,8,53
18,1,-7,28
32,3,6,31
40,1,6,50
77,4,-1,78
47,3,2,46
76,1,2,86
77,4,-1,78
86,1,-1,96
21,4,-8,22
80,3,5,79
11,4,-1,12
19,2,5,9
28,3,-7,27
20,1,-10,30
58,1,-4,68
12,1,-8,22
92,3,-2,91
91,2,-8,81
87,2,5,77
66,4,8,67
54,3,8,53
2,3,6,1
12,2,-5,2
7,4,-5,8
85,2,8,75
77,1,-2,87
83,2,2,73
55,3,8,54
81,1,-2,91
75,4,-5,76
88,4,2,89
2,1,-1,12
27,3,-7,26
13,3,-1,12
37,1,1,47
35,4,6,36
5,4,5,6
81,1,-2,91
93,4,3,94
7,4,-5,8
86,2,-5,76
48,4,-8,49
75,3,0,74
43,4,8,44
62,1,9,72
11,4,-1,12
36,1,2,46
53,3,-3,52
64,1,0,74
48,1,1,58
43,2,3,33
17,2,-3,7
98,2,1,88
86,4,-2,87
76,1,2,86
24,2,3,14
77,2,8,67
98,3,3,97
85,1,-4,95
39,3,3,38
53,2,5,43
25,1,3,35
38,4,9,39
89,3,1,88
53,2,5,43
17,4,4,18
31,2,1,21
38,2,-7,28
36,2,-7,26
97,4,3,98
75,2,-10,65
61,4,7,62
74,2,-10,64
28,1,3,38
93,3,1,92
83,1,5,93
30,3,-9,29
17,4,4,18
39,4,-5,40
81,4,4,82
61,2,7,51
12,4,-1,13
79,4,-9,80
16,2,5,6
33,1,5,43
33,4,-6,34
87,4,1,88
57,1,8,67
43,2,3,33
91,2,-8,81
81,2,-8,71
29,3,-7,28
22,4,4,23
23,4,-7,24
4,3,-10,3
78,1,1,88
37,4,3,38
98,2,1,88
12,1,-8,22
73,2,7,63
84,2,0,74
80,1,-3,90
48,1,1,58
23,4,-7,24
70,1,-9,80
28,2,4,18
83,1,5,93
27,2,-4,17
70,3,3,69
54,1,-10,64
43,4,8,44
63,4,-10,64
32,1,4,42
96,2,2,86
3,4,0,4
25,1,3,35
14,4,-2,15
82,3,-8,81
26,4,-7,27
51,4,-3,52
78,2,-4,68
76,3,8,75
18,3,-4,17
79,2,3,69
61,1,-8,71
75,3,0,74
57,1,8,67
52,3,7,51
15,1,5,25
61,2,7,51
32,1,4,42
27,2,-4,17
33,4,-6,34
92,2,4,82
27,4,-7,28
97,4,3,98
17,3,-7,16
22,3,1,21
75,1,-8,85
42,2,-8,32
48,3,1,47
40,2,-10,30
33,2,4,23
23,1,3,33
17,1,-7,27
8,3,-3,7
17,3,-7,16
54,3,8,53
44,1,8,54
93,4,3,94
39,2,-9,29
84,1,3,94
54,3,8,53
4,4,8,5
17,1,-7,27
15,2,8,5
55,3,8,54
56,2,2,46
27,4,-7,28
8,1,4,18
95,3,3,94
82,4,-1,83
55,3,8,54
49,4,6,50
40,2,-10,30
2,3,6,1
29,2,5,19
96,3,-4,95
75,1,-8,85
100,3,5,99
25,4,-7,26
48,2,3,38
27,3,-7,26
55,1,-10,65
4,1,3,14
37,2,-7,27
72,4,2,73
67,3,-3,66
12,3,-8,11
93,4,3,94
43,3,4,42
20,3,5,19
15,4,-7,16
80,3,5,79
62,1,9,72
31,1,2,41
43,2,3,33
9,4,-9,10
25,4,-7,26
28,2,4,18
43,4,8,44
75,4,-5,76
28,1,3,38
47,4,-4,48
61,4,7,62
20,1,-10,30
23,3,-8,22
47,1,7,57
63,2,8,53
92,3,-2,91
43,3,4,42
52,2,4,42
72,4,2,73
72,1,4,82
74,1,-8,84
40,3,9,39
22,4,4,23
59,2,-8,49
45,2,3,35
52,1,7,62
23,2,-1,13
33,4,-6,34
94,2,-8,84
56,4,7,57
93,3,1,92
12,1,-8,22
12,4,-1,13
6,3,8,5
84,3,-1,83
34,2,-7,24
79,2,3,69
27,2,-4,17
81,1,-2,91
50,1,6,60
81,4,4,82
46,3,0,45
68,3,8,67
8,3,-3,7
2,4,-10,3
44,4,0,45
6,3,8,5
81,2,-8,71
75,2,-10,65
68,2,1,58
65,2,1,55
81,2,-8,71
67,1,5,77
60,3,1,59
33,2,4,23
